NUM_OPER,MONTOCREDITO_log_est,MONTOCUOTA_log_est,SALDOCAPITAL_POR_VENCER_log_est,NUMERORENEGOCIACION_log_est,PLAZO_est,TASAINTERES_est,DIAS_MADURACION_est,DIAS_RESTANTES_est,PRODUCTO_COD_PROD_2_e,TIPOTASACOD_V_e,PERIOD_PAGO_OTROS_e
1169,0.021018632,-0.029457629,-1.3605603,0.0,0.037579384,-0.0051139994,0.122884035,-0.041326795,-0.009511344,0.0,0.0
1184,-0.034979828,-0.01419061,-1.3668326,0.0,-0.18362448,-0.039454278,0.08470969,-0.010421405,-0.009077507,0.0,0.0
1194,-0.03484161,-0.027614139,-1.39676,0.0,-0.18007252,-0.017969755,0.07620987,-0.010482466,-0.008910589,0.0,0.0
1197,-0.00089208595,-0.031006824,-1.3906652,0.0,-0.05770244,-0.0327274,0.13216944,0.0046994803,-0.010098685,0.0,0.0
1202,-0.042666957,0.11387099,-1.1641186,0.0,0.36245486,0.23881213,0.22003166,0.017544692,-0.036227953,0.0,0.0
1205,-0.0024065848,-0.042605195,1.5377605,0.0,0.07082561,0.016413322,0.060634527,0.004643508,-0.008868448,0.0,0.0
1220,-0.043733925,0.06966918,-1.2974843,0.0,-0.030097682,0.05131102,0.12923063,0.017032517,-0.037902668,0.0,0.0
1221,-0.009744085,-0.21730664,-1.2678139,0.0,0.18018617,0.07634408,0.14400384,0.007928847,-0.03638722,0.0,0.0
1223,0.008642095,0.00011643222,-1.3795631,0.0,-0.05988257,-0.024134643,0.15065627,-0.009016807,-0.009621179,0.0,0.0
1224,-0.019640835,-0.015295285,-1.4131669,0.0,-0.17677909,-0.029043,0.0739575,-0.0108489,-0.009624682,0.0,0.0
1227,-0.0010461211,-0.031006824,-1.368444,0.0,-0.052534148,-0.02988007,0.101855114,0.004545446,-0.00971312,0.0,0.0
1286,-0.04975268,0.019913163,-1.3562467,0.0,-0.14584544,-0.008747629,0.13792755,-0.002760637,-0.011200851,0.0,0.0
1290,-0.07111524,-0.04236121,-1.3649819,0.0,-0.0031214738,-0.06823671,0.11530928,-0.02563954,-0.010432091,0.0,0.0
1291,-0.012405329,-0.007599731,1.6634068,0.0,-0.043473624,-0.010985424,0.050630312,0.0015286123,-0.004704362,0.0,0.0
1295,-0.05808158,-0.045540836,-1.3945695,0.0,-0.15315375,-0.033584222,0.097659126,-0.0068254843,-0.010152627,0.0,0.0
1298,-0.01646044,-0.0062691355,1.6440759,0.0,-0.016942462,-0.015266237,0.056758586,-0.00483381,-0.004665335,0.0,0.0
1306,0.016782263,-0.0010590751,1.5651975,0.0,-0.013701687,-0.0049955,0.06501768,0.014130981,-0.00497503,0.0,0.0
1317,-0.04975268,0.02008809,-1.3563311,0.0,-0.14560717,-0.008509357,0.13736057,-0.002760637,-0.011200851,0.0,0.0
1319,0.062113203,-0.02157986,-1.4130918,0.0,-0.051685568,-0.024928086,0.13781348,-0.020637793,-0.010972947,0.0,0.0
1346,-0.08922261,0.0025195726,-1.15623,0.0,0.06951341,0.011547051,0.23981114,0.092965834,-0.058751386,0.0,0.0
1363,-0.0044816267,0.010891881,1.4923579,0.0,-0.0036949313,-0.010906186,0.07406884,0.08292126,-0.004759891,0.0,0.0
1372,-0.08279081,-0.04845207,-1.3861125,0.0,-0.093570046,-0.035759687,0.10591273,-0.023728957,-0.011452002,0.0,0.0
1387,0.018803837,-0.0019076457,1.609592,0.0,-0.046879355,-0.0049191797,0.063547865,0.0029075076,-0.0047479863,0.0,0.0
1388,-0.04965574,0.02008809,-1.3562677,0.0,-0.1452653,-0.008509357,0.13710941,-0.002760637,-0.011452002,0.0,0.0
1408,-0.09005149,-0.047220267,-1.2402127,0.0,-0.11782225,-0.017949712,0.1807611,-0.0024545293,-0.02872208,0.0,0.0
1434,0.027250718,0.012470957,1.5433068,0.0,-0.004613922,-0.0071018096,0.07286143,-0.0030290098,-0.0047479863,0.0,0.0
1443,0.076124616,0.049664307,-1.3616432,0.0,0.005479733,-0.021562971,0.17290837,-0.019539297,-0.010958031,0.0,0.0
1444,-0.01907778,-0.012219795,1.5797654,0.0,0.045338593,-0.023640987,0.0598645,0.016220411,-0.009853113,0.0,0.0
1451,-0.06618117,-0.04716849,-1.3991709,0.0,-0.13561672,-0.031725407,0.09054783,-0.0044444287,-0.01048963,0.0,0.0
