NUM_OPER,FECHA_CORTE,particion,DIASMORA,TARGET,P_xgboost,P_lightgbm,P_ensemble
54,2019-03-31,train,172,1,0.8377466,0.9984783372802322,0.9181124787292274
54,2019-04-30,train,20,0,0.17194256,0.002532703388221937,0.08723763262653741
54,2019-05-31,train,0,0,0.17194256,0.0023277280007727424,0.08713514493281282
54,2019-06-30,train,20,0,0.17194256,0.0023277280007727424,0.08713514493281282
54,2019-07-31,train,21,0,0.17194256,0.0034112337477906606,0.08767689780632178
54,2019-08-31,train,21,0,0.17194256,0.003634620245341738,0.08778859105509731
54,2019-09-30,train,0,0,0.16819246,0.0034748431040305333,0.08583365211851689
54,2019-10-31,train,0,0,0.16819246,0.0034748431040305333,0.08583365211851689
54,2019-11-30,train,20,0,0.16819246,0.0034748431040305333,0.08583365211851689
54,2019-12-31,train,21,0,0.16819246,0.0034748431040305333,0.08583365211851689
136,2017-10-31,train,0,0,0.23999187,0.023206082573597867,0.1315989780381646
136,2019-03-31,train,18,0,0.20479308,0.003967832372397564,0.10438045652996022
136,2019-08-31,train,0,0,0.20479308,0.004941221334861358,0.10486715101119212
136,2019-10-31,train,48,1,0.8377466,0.9996249328566986,0.9186857765174606
136,2019-11-30,train,78,1,0.8377466,0.9996146077833816,0.9186806139808021
136,2019-12-31,train,79,1,0.8377466,0.999767976152594,0.9187572981654084
178,2017-01-31,val,0,0,0.16982947,0.0030165091618549445,0.08642299103064595
178,2017-05-31,val,0,0,0.16982947,0.022738535092542506,0.09628400399598973
178,2017-08-31,val,0,0,0.18985212,0.007737371963475169,0.09879474522780082
178,2017-09-30,val,0,0,0.17135522,0.006560902678711324,0.08895806018697376
178,2017-12-31,val,0,0,0.17194256,0.004171026897997244,0.08805679438142508
178,2018-05-31,val,0,0,0.17194256,0.005919960754920027,0.08893126130988646
178,2019-08-31,val,0,0,0.16819246,0.004278135377707838,0.08623529825535553
178,2019-12-31,val,0,0,0.16819246,0.005025923061874548,0.08660919209743889
189,2018-08-31,test,11,0,0.17194256,0.0024198589986750814,0.087181210431764
189,2019-03-31,test,11,0,0.17194256,0.0018917072070085827,0.08691713453593074
189,2019-05-31,test,0,0,0.17194256,0.0017385181598097176,0.08684054001233131
189,2019-06-30,test,10,0,0.17194256,0.0019126466209004995,0.0869276042428767
189,2019-07-31,test,11,0,0.17194256,0.0019240730301968208,0.08693331744752486
189,2019-08-31,test,42,1,0.8377466,0.9981022357050943,0.9179244279416585
189,2019-09-30,test,10,0,0.17194256,0.0019108978816574941,0.0869267298732552
189,2019-10-31,test,11,0,0.16819246,0.0016766992871217101,0.08493458021006248
189,2019-11-30,test,10,0,0.16819246,0.0018174023841225012,0.08500493175856287
189,2019-12-31,test,11,0,0.16819246,0.002298979702841229,0.08524572041792224
223,2017-04-30,train,33,1,0.1790089,0.15970567564456686,0.1693572883818995
223,2017-05-31,train,64,1,0.8377466,0.9984781496406171,0.9181123849094199
223,2017-06-30,train,63,1,0.8377466,0.9986320151064496,0.9181893176423361
223,2017-07-31,train,94,1,0.8377466,0.99877896151612,0.9182627908471713
223,2017-08-31,train,125,1,0.8377466,0.9988799378102662,0.9183132789942444
